fold,test_start,test_end,regime,trades,win_rate,net_abs,avg_profit_ratio
0,2021-03-31,2021-06-29,bear,42,0.619,-13.011,-0.01217
0,2021-03-31,2021-06-29,bull,287,0.7003,-52.587,-0.00472
0,2021-03-31,2021-06-29,sideways,111,0.8739,56.891,0.01245
0,2021-03-31,2021-06-29,sideways_high_vol,15,0.4,-25.248,-0.0339
1,2021-06-29,2021-09-27,bear,345,0.7043,16.13,0.0016
1,2021-06-29,2021-09-27,bull,50,0.7,-10.493,-0.0053
2,2021-09-27,2021-12-26,bull,387,0.6434,-30.476,-0.00251
3,2021-12-26,2022-03-26,bear,219,0.6667,-10.559,-0.00141
3,2021-12-26,2022-03-26,bull,81,0.6173,-13.948,-0.00532
3,2021-12-26,2022-03-26,sideways,66,0.7121,5.303,0.00356
3,2021-12-26,2022-03-26,sideways_high_vol,25,0.44,-7.446,-0.01258
4,2022-03-26,2022-06-24,bear,320,0.65,-31.84,-0.00384
4,2022-03-26,2022-06-24,sideways,64,0.6094,-12.647,-0.00631
5,2022-06-24,2022-09-22,bear,307,0.645,-28.96,-0.00271
5,2022-06-24,2022-09-22,sideways,74,0.7973,16.091,0.00714
6,2022-09-22,2022-12-21,bear,205,0.6293,-12.215,-0.00204
6,2022-09-22,2022-12-21,sideways,144,0.5903,-15.086,-0.00329
7,2022-12-21,2023-03-21,bear,103,0.6893,2.672,0.00091
7,2022-12-21,2023-03-21,bull,158,0.6329,-9.934,-0.00178
7,2022-12-21,2023-03-21,sideways,89,0.5393,-0.566,-0.00015
8,2023-03-21,2023-06-19,bull,317,0.6372,-20.659,-0.00234
8,2023-03-21,2023-06-19,sideways,32,0.5312,-8.011,-0.00829
8,2023-03-21,2023-06-19,sideways_high_vol,13,0.5385,-4.784,-0.01142
