bin,n,rate,pmean
"(0.217, 0.289]",32943,0.13975654919102692,0.26490015634738373
"(0.289, 0.361]",20026,0.1839109158094477,0.328187703394239
"(0.361, 0.432]",217605,0.25119827209852713,0.41297755581566864
"(0.432, 0.504]",356786,0.34513405795070434,0.4636014273241107
"(0.504, 0.575]",162232,0.42442921248582277,0.5339146862551523
"(0.575, 0.647]",24272,0.4900708635464733,0.5947518985002137
"(0.647, 0.718]",1211,0.555739058629232,0.6694922931822088
"(0.718, 0.79]",270,0.562962962962963,0.746400199396482
"(0.79, 0.861]",98,0.673469387755102,0.8156162703148359
"(0.861, 0.933]",15,1.0,0.8916457374055983
