pair,open_date,close_date,open_rate,close_rate,stake_amount,profit_abs,profit_ratio,exit_reason
ADA/USDT,2021-07-04 00:00:00,2021-07-04 00:20:00,1.4031,1.405,33.0,-0.021357921744707853,-0.0006472097498396319,exit_signal
NEAR/USDT,2021-07-04 00:00:00,2021-07-04 03:20:00,2.2469,2.2026,33.0,-0.7159791267969235,-0.02169633717566435,exit_signal
SOL/USDT,2021-07-04 00:20:00,2021-07-04 03:20:00,34.372,34.011,32.99295188582425,-0.4121556109505055,-0.012492232049342402,exit_signal
AAVE/USDT,2021-07-04 00:00:00,2021-07-04 03:35:00,259.06,254.8,33.0,-0.6081115571682224,-0.018427622944491587,exit_signal
NEAR/USDT,2021-07-04 03:25:00,2021-07-04 03:35:00,2.2023,2.2026,32.620667422367596,-0.06080215125191166,-0.0018639149979567972,exit_signal
AAVE/USDT,2021-07-04 03:40:00,2021-07-04 03:45:00,254.5,254.17,32.39992589858895,-0.10676953184035365,-0.0032953634577603643,exit_signal
SOL/USDT,2021-07-04 03:30:00,2021-07-04 04:10:00,33.883,33.97,32.620667422367596,0.018433666414896785,0.0005650916388748393,exit_signal
ZEC/USDT,2021-07-04 05:45:00,2021-07-04 05:50:00,118.08,118.01,32.37077506299855,-0.08391235212595702,-0.00259222560975604,exit_signal
LINK/USDT,2021-07-04 05:55:00,2021-07-04 06:00:00,18.571,18.609,32.34308398679698,0.0014281045107523288,4.4154865112285104e-05,exit_signal
AAVE/USDT,2021-07-04 05:40:00,2021-07-04 06:50:00,263.52,268.7904,32.37077506299855,0.5820265356327133,0.017979999999999982,roi
AAVE/USDT,2021-07-04 06:50:00,2021-07-04 07:05:00,269.02,269.55,32.535624018044324,-0.001036466797389335,-3.185636755620572e-05,exit_signal
NEAR/USDT,2021-07-04 07:55:00,2021-07-04 08:00:00,2.241,2.245,32.53528198400118,-0.007055844285686945,-0.0002168674698795163,exit_signal
AAVE/USDT,2021-07-04 08:05:00,2021-07-04 08:10:00,272.26,272.46,32.532953555386904,-0.04119136027919394,-0.0012661426577536595,exit_signal
SOL/USDT,2021-07-04 08:05:00,2021-07-04 08:10:00,35.206,35.219,32.532953555386904,-0.053064956482365325,-0.0016311140146566456,exit_signal
AAVE/USDT,2021-07-04 08:15:00,2021-07-04 08:20:00,270.77,271.0,32.50184897085559,-0.03742327973425068,-0.0011514200243748635,exit_signal
SOL/USDT,2021-07-04 08:15:00,2021-07-04 08:20:00,35.094,35.09,32.50184897085559,-0.06870454106268534,-0.002113865618054305,exit_signal
SOL/USDT,2021-07-04 08:25:00,2021-07-04 08:30:00,34.978,35.077,32.4668267899926,0.02686695355469801,0.0008275201555262349,exit_signal
UNI/USDT,2021-07-04 08:25:00,2021-07-04 08:30:00,20.698,20.762,32.4668267899926,0.03535618300543217,0.0010889941057106993,exit_signal
AAVE/USDT,2021-07-04 08:25:00,2021-07-04 08:35:00,270.04,270.61,32.4668267899926,0.0035287415430531044,0.00010868760183673954,exit_signal
NEAR/USDT,2021-07-04 08:30:00,2021-07-04 08:40:00,2.3153,2.3171,32.487360425057446,-0.03974310010276817,-0.0012233403878547913,exit_signal
AAVE/USDT,2021-07-04 08:40:00,2021-07-04 08:45:00,270.89,271.03,32.47540968673274,-0.04818382613345662,-0.0014837018716084521,exit_signal
SOL/USDT,2021-07-04 08:45:00,2021-07-04 08:50:00,35.056,35.115,32.4595090241087,-0.010343598108973326,-0.0003186615700592024,exit_signal
AAVE/USDT,2021-07-04 08:50:00,2021-07-04 08:55:00,270.3,270.79,32.456095636732734,-0.006134598320682132,-0.00018901220865701407,exit_signal
ADA/USDT,2021-07-04 09:00:00,2021-07-04 09:05:00,1.433,1.43,32.45407121928691,-0.13278312600047648,-0.004091416608513686,exit_signal
BNB/USDT,2021-07-04 09:05:00,2021-07-04 09:10:00,305.03,304.68,32.41025278770675,-0.10197175262396796,-0.0031462806937021474,exit_signal
NEAR/USDT,2021-07-04 08:55:00,2021-07-04 09:15:00,2.3404,2.3193,32.45407121928691,-0.3572069468413325,-0.011006537344043615,exit_signal
ADA/USDT,2021-07-04 09:15:00,2021-07-04 09:20:00,1.4271,1.4268,32.258723816883204,-0.07129198307481388,-0.002210006306495668,exit_signal
NEAR/USDT,2021-07-04 09:20:00,2021-07-04 09:25:00,2.3176,2.3172,32.23519746246851,-0.0700283794373641,-0.0021724197445633225,exit_signal
UNI/USDT,2021-07-04 09:10:00,2021-07-04 09:25:00,20.638,20.673,32.376602109340844,-0.009900607418943719,-0.0003057951351876834,exit_signal
ADA/USDT,2021-07-04 09:30:00,2021-07-04 09:35:00,1.4254,1.4268,32.20882089680594,-0.03281440276858383,-0.0010188017398624469,exit_signal
DOGE/USDT,2021-07-04 09:30:00,2021-07-04 09:35:00,0.24753,0.24788,32.20882089680594,-0.018920876849694575,-0.0005874439461883843,exit_signal
NEAR/USDT,2021-07-04 09:35:00,2021-07-04 09:50:00,2.3171,2.3267,32.19174825453191,0.06885708113552282,0.002138966811963349,exit_signal
AAVE/USDT,2021-07-04 09:00:00,2021-07-04 10:00:00,269.44,269.86,32.45407121928691,-0.014369695280806158,-0.0004427701900236938,exit_signal
NEAR/USDT,2021-07-04 09:55:00,2021-07-04 10:00:00,2.3156,2.3148,32.21447109130663,-0.07554735870367452,-0.002345137329417824,exit_signal
NEAR/USDT,2021-07-04 10:05:00,2021-07-04 10:10:00,2.3024,2.3159,32.18479846349175,0.12415554400329953,0.003857583391243948,exit_signal
UNI/USDT,2021-07-04 09:35:00,2021-07-04 10:10:00,20.592,20.608,32.19174825453191,-0.0393954961156831,-0.0012237762237761367,exit_signal
AAVE/USDT,2021-07-04 10:05:00,2021-07-04 10:20:00,269.07,271.63,32.18479846349175,0.24153849755576234,0.00750473854387335,exit_signal
NEAR/USDT,2021-07-04 10:25:00,2021-07-04 11:05:00,2.2961,2.2975,32.292476983488065,-0.044914966462467856,-0.0013908801881451825,exit_signal
UNI/USDT,2021-07-04 11:20:00,2021-07-04 11:25:00,20.67,20.732,32.27765504455545,0.03216522199359827,0.000996516690856198,exit_signal
AAVE/USDT,2021-07-04 11:55:00,2021-07-04 12:00:00,274.35,274.56,32.28826956781334,-0.039886340219530816,-0.001235319846910955,exit_signal
NEAR/USDT,2021-07-04 11:10:00,2021-07-04 12:00:00,2.2945,2.2893,32.27765504455545,-0.13763265261491908,-0.0042640226628896565,exit_signal
AVAX/USDT,2021-07-04 12:10:00,2021-07-04 12:20:00,11.935,11.96,32.22968830017796,0.002983980357914362,9.258483452034768e-05,exit_signal
SOL/USDT,2021-07-04 12:20:00,2021-07-04 14:05:00,34.882,34.828,32.23067301369608,-0.11430699382272172,-0.0035465282953957614,exit_signal
NEAR/USDT,2021-07-04 12:05:00,2021-07-04 14:40:00,2.282,2.2661,32.22968830017796,-0.2887974975157217,-0.00896060473269073,exit_signal
UNI/USDT,2021-07-04 14:05:00,2021-07-04 14:40:00,20.595,20.62,32.19295170573458,-0.025346380767585226,-0.0007873270211215282,exit_signal
AAVE/USDT,2021-07-04 12:10:00,2021-07-04 14:50:00,272.74,271.13,32.22968830017796,-0.254522837644294,-0.007897154799442743,exit_signal
NEAR/USDT,2021-07-04 14:45:00,2021-07-04 14:50:00,2.2737,2.2731,32.08928422590109,-0.07263804725947381,-0.0022636231692835175,exit_signal
AAVE/USDT,2021-07-04 14:55:00,2021-07-04 15:10:00,271.72,271.64,31.981321133882847,-0.07336919012961327,-0.0022941263064921273,exit_signal
AVAX/USDT,2021-07-04 15:05:00,2021-07-04 15:10:00,12.218,12.197,31.981321133882847,-0.11887638723975404,-0.003717056801440562,exit_signal
ZEC/USDT,2021-07-04 15:10:00,2021-07-04 15:15:00,117.33,117.5,31.91788009335096,-0.017636036533298288,-0.0005525441063666435,exit_signal
SOL/USDT,2021-07-04 15:15:00,2021-07-04 15:20:00,34.713,34.754,31.912060201294967,-0.026170040553981665,-0.0008200674099041623,exit_signal
AVAX/USDT,2021-07-04 15:20:00,2021-07-04 15:25:00,12.174,12.168,31.903424087912153,-0.0795148425887496,-0.0024923607688516693,exit_signal
NEAR/USDT,2021-07-04 15:30:00,2021-07-04 15:35:00,2.2764,2.2809,31.877184189857868,-0.0008023909040975052,-2.517132314192281e-05,exit_signal
NEAR/USDT,2021-07-04 15:45:00,2021-07-04 15:50:00,2.2731,2.2798,31.876919400859517,0.03010995277180202,0.0009445690906690986,exit_signal
AVAX/USDT,2021-07-04 16:00:00,2021-07-04 16:05:00,12.366,12.394,31.88685568527421,0.008354634677365635,0.0002620087336244922,exit_signal
NEAR/USDT,2021-07-04 16:00:00,2021-07-04 16:05:00,2.2753,2.2735,31.88685568527421,-0.08897431959507614,-0.002790313365270622,exit_signal
AAVE/USDT,2021-07-04 16:10:00,2021-07-04 16:15:00,276.06,277.59,31.860251189251358,0.11268114268139062,0.0035367311454030746,exit_signal
NEAR/USDT,2021-07-04 16:10:00,2021-07-04 16:15:00,2.2776,2.2817,31.860251189251358,-0.006424926840196021,-0.0002016596417282356,exit_signal
AVAX/USDT,2021-07-04 16:20:00,2021-07-04 16:25:00,12.366,12.36,31.895315740478953,-0.07925080635953125,-0.002484716157205258,exit_signal
ZEC/USDT,2021-07-04 16:20:00,2021-07-04 16:25:00,122.02,122.4,31.895315740478953,0.035439820587563065,0.0011111293230618724,exit_signal
AVAX/USDT,2021-07-04 16:30:00,2021-07-04 16:35:00,12.312,12.306,31.88085811517421,-0.07928266031273645,-0.002486842105263176,exit_signal
UNI/USDT,2021-07-04 16:30:00,2021-07-04 16:35:00,21.193,21.193,31.88085811517421,-0.06376171623034843,-0.0020000000000000005,exit_signal
AVAX/USDT,2021-07-04 16:45:00,2021-07-04 16:50:00,12.347,12.309,31.833653470914992,-0.16154283565835087,-0.005074593018547037,exit_signal
AAVE/USDT,2021-07-04 16:40:00,2021-07-04 16:55:00,278.5,278.8,31.833653470914992,-0.029410409472409575,-0.000923877917414681,exit_signal
LINK/USDT,2021-07-04 16:50:00,2021-07-04 16:55:00,19.326,19.328,31.780344335147735,-0.060275108209693694,-0.0018966159577771453,exit_signal
ZEC/USDT,2021-07-04 16:40:00,2021-07-04 17:00:00,123.25,122.85,31.833653470914992,-0.16687808119722805,-0.005242190669371243,exit_signal
TRX/USDT,2021-07-04 17:00:00,2021-07-04 17:05:00,0.06744,0.06743,31.695678347517557,-0.068086490542775,-0.0021481316725978075,exit_signal
ZEC/USDT,2021-07-04 17:05:00,2021-07-04 17:10:00,122.14,122.14,31.673209805638447,-0.06334641961127689,-0.002,exit_signal
AVAX/USDT,2021-07-04 17:05:00,2021-07-04 17:15:00,12.28,12.35,31.673209805638447,0.11702064567441575,0.003694625407166147,exit_signal
TRX/USDT,2021-07-04 17:10:00,2021-07-04 17:15:00,0.06737,0.06751,31.652305487166718,0.002405518837677492,7.599821879176539e-05,exit_signal
UNI/USDT,2021-07-04 16:55:00,2021-07-04 17:15:00,21.088,21.149,31.750748114312643,0.02825015586441798,0.0008897477238239732,exit_signal
UNI/USDT,2021-07-04 17:30:00,2021-07-04 17:35:00,21.245,21.255,31.70103867289097,-0.04849535217081758,-0.0015297717109909149,exit_signal
ZEC/USDT,2021-07-04 17:30:00,2021-07-04 17:35:00,122.39,123.09,31.70103867289097,0.11772821388677582,0.0037137020998447815,exit_signal
AAVE/USDT,2021-07-04 17:50:00,2021-07-04 17:55:00,286.17,286.65,31.723885517257234,-0.010289726574109953,-0.0003243526575114049,exit_signal
AAVE/USDT,2021-07-04 18:10:00,2021-07-04 18:15:00,284.27,285.06,31.720489907487774,0.024623634248728238,0.0007762690399972578,exit_signal
UNI/USDT,2021-07-04 18:35:00,2021-07-04 18:40:00,21.269,21.254,31.728615706789856,-0.08581151729284774,-0.0027045465231086098,exit_signal
AVAX/USDT,2021-07-04 18:40:00,2021-07-04 18:45:00,12.421,12.439,31.700297906083218,-0.017507772613775813,-0.0005522904758070463,exit_signal
LINK/USDT,2021-07-04 18:40:00,2021-07-04 18:45:00,19.37,19.409,31.700297906083218,0.0003616812512740597,1.1409395973047114e-05,exit_signal
AAVE/USDT,2021-07-04 18:40:00,2021-07-04 19:10:00,282.57,283.47,31.700297906083218,0.03746551823872539,0.0011818664401742369,exit_signal
UNI/USDT,2021-07-04 19:05:00,2021-07-04 19:10:00,21.278,21.304,31.69463969593359,-0.024699714044457984,-0.0007793025660306512,exit_signal
AVAX/USDT,2021-07-04 19:20:00,2021-07-04 19:25:00,12.428,12.46,31.69885241131769,0.018139864688549417,0.0005722561956871599,exit_signal
NEAR/USDT,2021-07-04 19:20:00,2021-07-04 19:25:00,2.2714,2.2743,31.69885241131769,-0.022966805236107495,-0.0007245311261775355,exit_signal
AAVE/USDT,2021-07-04 19:20:00,2021-07-04 19:35:00,282.89,283.51,31.69885241131769,0.006006074761379945,0.00018947294001203492,exit_signal
UNI/USDT,2021-07-04 19:25:00,2021-07-04 19:35:00,21.234,21.272,31.697259520937,-0.0067263752190565365,-0.00021220683809001096,exit_signal
AVAX/USDT,2021-07-04 19:30:00,2021-07-04 19:45:00,12.412,12.405,31.697259520937,-0.08125295731370434,-0.0025634063809218052,exit_signal
AAVE/USDT,2021-07-04 19:45:00,2021-07-04 19:50:00,282.9,283.57,31.67020834587244,0.011590020042589882,0.0003659597030753479,exit_signal
UNI/USDT,2021-07-04 19:45:00,2021-07-04 19:50:00,21.243,21.266,31.67020834587244,-0.0290850677691303,-0.0009183731111425082,exit_signal
AAVE/USDT,2021-07-04 20:00:00,2021-07-04 20:05:00,283.05,283.15,31.664434980122678,-0.05215318702608822,-0.001647058823529532,exit_signal
SOL/USDT,2021-07-04 20:05:00,2021-07-04 20:10:00,34.799,34.854,31.64722442840407,-0.013325865098118159,-0.00042107531825627987,exit_signal
UNI/USDT,2021-07-04 19:55:00,2021-07-04 20:20:00,21.2,21.157,31.664434980122678,-0.12748967814142964,-0.004026273584905626,exit_signal
AAVE/USDT,2021-07-04 20:10:00,2021-07-04 20:25:00,281.83,283.79,31.64282689292169,0.1565558136570035,0.004947592520313793,exit_signal
AAVE/USDT,2021-07-04 20:40:00,2021-07-04 20:50:00,283.67,283.88,31.652418717641826,-0.03989608457888914,-0.0012604434730497426,exit_signal
ZEC/USDT,2021-07-04 20:35:00,2021-07-04 20:50:00,124.53,123.6,31.652418717641826,-0.29945124920754507,-0.009460611900746865,exit_signal
AAVE/USDT,2021-07-04 21:05:00,2021-07-04 21:20:00,282.86,285.04,31.540434097492305,0.17975795025301408,0.005699285865799359,exit_signal
AVAX/USDT,2021-07-04 19:50:00,2021-07-04 21:20:00,12.383,12.482,31.664434980122678,0.18956980434881704,0.005986836792376662,exit_signal
