variant,family,entry_thr,exit_thr,min_hold,cooldown,reentry,trades,trades_day,gross,fees,net,sharpe,maxdd,pf,wr,med_hold,avg_hold,gross_per_trade,fee_per_trade,gross_fee_ratio,turnover,volume
A_base_50_50,h1,0.5,0.5,0,0,True,15603,86.2,47.18,147.16,-99.975,-24.186,-0.9997,0.506,0.3353,5.0,31.7,0.003,0.0094,0.321,15603,73556.2
B_55_45,h1,0.55,0.45,0,0,True,2173,12.01,31.46,104.13,-72.666,-3.205,-0.8146,0.825,0.5923,125.0,242.6,0.0145,0.0479,0.302,2173,52049.0
C_60_40,h1,0.6,0.4,0,0,True,702,3.88,2.13,47.76,-45.633,-1.316,-0.6872,0.88,0.7821,290.0,1022.0,0.003,0.068,0.045,702,23878.6
hold_05,h2_hold,0.5,0.5,5,0,True,15603,86.2,47.18,147.16,-99.975,-24.186,-0.9997,0.506,0.3353,5.0,31.7,0.003,0.0094,0.321,15603,73556.2
hold_15,h2_hold,0.5,0.5,15,0,True,12005,66.33,62.35,162.14,-99.786,-17.325,-0.9978,0.614,0.4072,15.0,45.1,0.0052,0.0135,0.385,12005,81038.7
hold_30,h2_hold,0.5,0.5,30,0,True,9314,51.46,57.87,157.1,-99.237,-13.551,-0.9923,0.665,0.4312,30.0,62.7,0.0062,0.0169,0.368,9314,78523.4
hold_60,h2_hold,0.5,0.5,60,0,True,6831,37.74,72.11,169.14,-97.03,-9.181,-0.9729,0.75,0.4557,60.0,92.9,0.0106,0.0248,0.426,6831,84534.6
cool_00,h2_cool,0.5,0.5,0,0,True,15603,86.2,47.18,147.16,-99.975,-24.186,-0.9997,0.506,0.3353,5.0,31.7,0.003,0.0094,0.321,15603,73556.2
cool_15,h2_cool,0.5,0.5,0,15,True,14136,78.1,34.79,134.75,-99.956,-22.977,-0.9996,0.459,0.3344,5.0,33.3,0.0025,0.0095,0.258,14136,67358.0
cool_30,h2_cool,0.5,0.5,0,30,True,12771,70.56,33.68,133.59,-99.907,-21.36,-0.9991,0.458,0.3359,10.0,34.8,0.0026,0.0105,0.252,12771,66775.8
cool_60,h2_cool,0.5,0.5,0,60,True,11216,61.97,36.45,136.2,-99.748,-18.947,-0.9974,0.47,0.3338,10.0,36.1,0.0032,0.0121,0.268,11216,68080.5
reentry_off,h5,0.5,0.5,0,0,False,15639,86.4,43.21,143.19,-99.978,-24.092,-0.9998,0.485,0.3342,5.0,31.6,0.0028,0.0092,0.302,15639,71573.3
